sample_name,size,time
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_mv.sample,0122332,0.9792
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_seq.sample,0047440,0.3263
test-data/data/byteweight/elf-x86/gcc_findutils_32_O1_xargs.sample,0037268,0.3028
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_yes.sample,0028112,0.1740
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_head.sample,0039760,0.2810
test-data/data/byteweight/elf-x86/gcc_findutils_32_O0_xargs.sample,0036420,0.2754
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_chown.sample,0061476,0.4469
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_kill.sample,0030832,0.2109
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_true.sample,0021988,0.1444
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_csplit.sample,0132380,1.0542
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_groups.sample,0033700,0.2476
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_chgrp.sample,0055316,0.3959
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_od.sample,0065780,0.5640
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_sum.sample,0039664,0.2861
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_cksum.sample,0032840,0.2300
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_pwd.sample,0031504,0.2326
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_pathchk.sample,0028176,0.2090
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_nohup.sample,0030032,0.2282
test-data/data/byteweight/elf-x86/gcc_binutils_32_O1_ranlib.sample,0891832,8.3726
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_df.sample,0117336,0.9026
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_make-prime-list.sample,0004936,0.0279
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_wc.sample,0038736,0.2770
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_env.sample,0030576,0.2415
test-data/data/byteweight/elf-x86/gcc_binutils_32_O2_ar.sample,0928296,8.5467
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_tac.sample,0099660,0.6979
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_sha256sum.sample,0049608,0.9423
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_nproc.sample,0039408,0.2519
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_shred.sample,0058440,0.4820
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_nice.sample,0032400,0.2536
